City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
505,hibbing,47.4272,-92.9377,20.86,93,90,0.0,overcast clouds,US,2021-12-11 05:01:53
506,nueva imperial,-38.7333,-72.95,51.17,95,64,2.46,broken clouds,CL,2021-12-11 05:01:53
507,hirado,33.3597,129.5531,64.38,66,100,11.21,overcast clouds,JP,2021-12-11 05:01:54
508,coihaique,-45.5752,-72.0662,55.35,67,0,1.14,clear sky,CL,2021-12-11 04:59:59
509,la reforma,25.0833,-108.05,66.74,80,89,6.85,overcast clouds,MX,2021-12-11 05:01:54
510,penzance,50.1186,-5.5371,48.76,84,100,11.77,overcast clouds,GB,2021-12-11 05:01:55
511,darien,41.752,-87.974,60.46,91,90,3.0,overcast clouds,US,2021-12-11 05:01:55
512,aksarka,66.5606,67.7975,9.81,90,100,19.46,light snow,RU,2021-12-11 05:01:55
513,kelso,46.1468,-122.9084,47.86,89,90,19.57,overcast clouds,US,2021-12-11 05:01:56
514,yerbogachen,61.2767,108.0108,-16.01,94,14,4.45,few clouds,RU,2021-12-11 05:01:56
515,ariquemes,-9.9133,-63.0408,73.29,99,100,2.33,overcast clouds,BR,2021-12-11 05:01:56
516,galle,6.0367,80.217,83.26,70,25,1.63,scattered clouds,LK,2021-12-11 05:01:57
517,cabedelo,-6.9811,-34.8339,79.43,77,14,13.0,few clouds,BR,2021-12-11 05:01:06
518,petropavlovsk-kamchatskiy,53.0452,158.6483,27.19,74,0,2.24,clear sky,RU,2021-12-11 05:01:57
519,batticaloa,7.7102,81.6924,83.1,70,19,7.96,few clouds,LK,2021-12-11 05:01:57
520,comal,29.8169,-98.3003,71.82,92,31,1.99,scattered clouds,US,2021-12-11 05:01:58
521,barranca,-10.75,-77.7667,66.24,87,90,6.87,overcast clouds,PE,2021-12-11 05:01:58
522,itanhem,-17.1664,-40.33,69.82,97,100,1.34,overcast clouds,BR,2021-12-11 05:01:59
523,verkh-chebula,56.0308,87.6218,18.18,76,100,17.31,overcast clouds,RU,2021-12-11 05:01:59
524,kachug,53.9606,105.8817,5.27,75,86,7.0,overcast clouds,RU,2021-12-11 05:01:59
525,kapit,2.0167,112.9333,80.28,85,100,2.01,overcast clouds,MY,2021-12-11 05:02:00
526,betioky,-23.7167,44.3833,86.94,45,100,5.95,overcast clouds,MG,2021-12-11 05:02:00
527,te anau,-45.4167,167.7167,54.12,69,95,7.11,overcast clouds,NZ,2021-12-11 05:02:00
528,kantunil,20.8,-89.0333,72.93,91,5,4.9,clear sky,MX,2021-12-11 05:02:01
529,the valley,18.217,-63.0578,80.1,71,0,25.37,clear sky,AI,2021-12-11 05:02:01
