City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Campo Maior,BR,2021-12-08 20:16:58,-4.8278,-42.1686,93.9,34,100,1.19
268,Labuhan,ID,2021-12-08 20:16:59,-6.8844,112.2051,79.2,83,100,8.99
269,Thompson,CA,2021-12-08 20:16:59,55.7435,-97.8558,-12.84,77,90,0.0
270,Faanui,PF,2021-12-08 20:17:00,-16.4833,-151.75,81.07,76,32,13.98
271,Rawlins,US,2021-12-08 20:17:00,41.7911,-107.2387,39.42,56,1,26.46
272,Barra,BR,2021-12-08 20:17:00,-11.0894,-43.1417,85.59,52,45,1.43
273,Hamilton,US,2021-12-08 20:13:39,39.1834,-84.5333,42.64,59,1,3.0
274,Maumere,ID,2021-12-08 20:17:01,-8.6199,122.2111,79.5,84,100,6.08
275,Hay River,CA,2021-12-08 20:17:01,60.8156,-115.7999,4.98,85,90,11.5
276,Sangar,RU,2021-12-08 20:18:02,63.9242,127.4739,-17.48,94,100,10.18
277,Lydenburg,ZA,2021-12-08 20:18:02,-25.0978,30.4597,60.28,90,100,0.89
278,Havre,FR,2021-12-08 20:18:02,49.5833,0.3333,38.44,74,76,15.19
279,Abu Dhabi,AE,2021-12-08 20:15:07,24.4667,54.3667,73.42,62,0,5.75
280,Mwanza,TZ,2021-12-08 20:18:03,-2.5167,32.9,75.04,65,100,4.45
281,Hami,CN,2021-12-08 20:18:04,42.8,93.45,28.2,62,100,4.56
282,Tezu,IN,2021-12-08 20:18:04,27.9167,96.1667,64.96,51,84,3.31
283,Rosarito,MX,2021-12-08 20:18:04,32.3333,-117.0333,70.63,64,0,6.2
284,Manthani,IN,2021-12-08 20:18:05,18.65,79.6667,74.39,53,100,5.01
285,Fort Nelson,CA,2021-12-08 20:18:05,58.8053,-122.7002,6.39,85,75,0.0
286,San Miguel,SV,2021-12-08 20:18:05,13.4833,-88.1833,98.08,46,0,4.61
287,Klaksvik,FO,2021-12-08 20:18:06,62.2266,-6.589,40.12,77,100,27.02
288,Cap Malheureux,MU,2021-12-08 20:18:06,-19.9842,57.6142,77.47,69,21,3.0
289,Klimovo,RU,2021-12-08 20:18:07,52.3805,32.1923,25.48,94,100,12.82
290,Meridian,US,2021-12-08 20:18:07,43.6121,-116.3915,50.72,78,90,1.99
291,Cururupu,BR,2021-12-08 20:18:07,-1.8283,-44.8683,84.16,68,22,5.84
