City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
614,soc trang,VN,75.16,overcast clouds,9.6033,105.98,Phu Quy Hotel
616,argelia,CO,66.87,moderate rain,2.2556,-77.2488,Hotel San Fernando Argelia
619,barra,BR,75.54,overcast clouds,-11.0894,-43.1417,Motel Albatroz
621,belmonte,BR,72.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
622,whitianga,NZ,74.88,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
637,big spring,US,68.54,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
638,upington,ZA,66.58,clear sky,-28.4478,21.2561,River Place Manor
639,vila franca do campo,PT,63.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
640,valparaiso,CL,62.47,broken clouds,-33.0393,-71.6273,Hotel Ultramar
643,nedjo,ET,56.57,clear sky,9.5046,35.5019,Yerosan Hotel
644,antalaha,MG,74.28,light rain,-14.9003,50.2788,Hotel Vitasoa
645,tecpan,GT,56.52,clear sky,14.7623,-90.9947,San Ricardo Restaurante y Hotel
647,hualmay,PE,67.17,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
649,karoi,ZW,66.24,clear sky,-16.8099,29.6925,Chikangwe Guest houses
653,mildura,AU,75.07,clear sky,-34.2,142.15,Mercure Hotel Mildura
657,baghmara,IN,66.24,few clouds,23.795,86.2085,Shankar tea shop
659,asfi,MA,56.57,clear sky,32.2994,-9.2372,Hôtel Abda
664,cape coral,US,76.05,overcast clouds,26.5629,-81.9495,"Hampton Inn & Suites - Cape Coral/Fort Myers Area, FL"
666,temerloh,MY,78.64,overcast clouds,3.4483,102.4176,U Design Hotel Temerloh
668,lompoc,US,57.61,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
671,dakoro,NE,64.29,scattered clouds,14.5106,6.765,Shagon mai liverpool
673,bucerias,MX,71.26,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
678,kotaparh,IN,68.63,overcast clouds,19.15,82.35,Atul Pattnaik
687,dodoma,TZ,67.01,broken clouds,-6.1722,35.7395,Royal Village Hotel
688,san cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
694,murupara,NZ,74.28,heavy intensity rain,-38.4667,176.7,Murupara Motor Camp
696,aswan,EG,61.9,clear sky,24.0934,32.907,Nuba Nile
699,ixtapa,MX,78.03,broken clouds,20.7,-105.2,Hotel Plaza Providencia
701,crossville,US,59.95,mist,35.949,-85.0269,Hampton Inn Crossville
703,hue,VN,69.91,scattered clouds,16.4667,107.6,Saigon Morin Hotel
704,ndjole,GA,75.02,light rain,-0.1783,10.7649,Motel Kédyann
705,leo,BF,68.67,broken clouds,11.1,-2.1,Hotel Sissilis
706,loreto,MX,57.43,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
